id_str,from_user,text,created_at,time,in_reply_to_user_id,user_followers_count,friends_count
1019740621211176961,H_E_QAL,"@indosupporter Bang$at! @iriawan84 
Seagames ga masuk agenda Resmi FIFA.. skg lagi bagus di Piala Asia yg jelas jel… https://t.co/mvHmjdV8OR",2022-06-11 12:31:56,2022-06-12 14:16:21,110109093,159,198
345426505,gozelpku,"@GunRomli Seagames pake uang rakyat, PON pake uang rakyat, Mandalika pake uang rakyat, formula e pake uang rakyat..… https://t.co/uJOIajmwlS",2022-06-11 12:15:19,2022-06-12 14:16:21,45602536,7,9
2789250336,dilddul,"@wiensoerya @BWFScore Mereka komposisinya pas bgt, rotasi permainannya jg udh enak dan jauh lebih bagus dari pas se… https://t.co/U3DBY3LUIL",2022-06-11 10:50:58,2022-06-12 14:16:21,713788681,82,87
2596367444,MaulinaVirna,"@bu_jangg @chogyu88_ @BadmintonTalk Di vietnam kemarin juga gitu kok pas seagames, selagi gak rasis.",2022-06-11 10:31:41,2022-06-12 14:16:21,1047633722621612033,75,93
2596367444,MaulinaVirna,"@cuddleybabe Kaya pas seagames di vietnam kemarin, penonton juga pake drum dll. Itu keuntungan tuan rumah sebenernya",2022-06-11 10:27:20,2022-06-12 14:16:21,450416127,75,93
1219423760157007872,Lest_Lizt,@BadmintonTalk Pas SeaGames beregu putri pertama kali ApriFadia debut ada nyinyir bilang tampang aja yg macho biar… https://t.co/xkvlq3aVZP,2022-06-11 10:22:49,2022-06-12 14:16:21,2941773157,29,134
55445267,n_desilestari,@AmniBetty__ @bayuarisandee Ini apa bedanya kita sama penonton SEAgames kemaren deh,2022-06-11 10:14:16,2022-06-12 14:16:21,866428123117572096,150,431
1240940922356944896,alfarid100,"@SwiftieID95 @xixixixilian Iya itu 2021, tapi liat aja grafik penampilan di 2022 ini kebanyakan sering terjegal di… https://t.co/YNsCdXDe52",2022-06-11 10:00:15,2022-06-12 14:16:21,918672420394827776,33,134
850649546652663808,indrajayaabadi,@Tommy_desky Sy yakin Coach STY itu punya sejuta strategi d otak nya buat menangkan suatu tim apalagi event nya pia… https://t.co/w2jcZAoHPz,2022-06-11 09:57:31,2022-06-12 14:16:21,191324571,6,17
195968661,langgengpakel,"Menarik ini dua turnamen pertama Apri Fadia 

Mentasbihkan diri di Asean dengan juara seagames dan melengkapi denga… https://t.co/WMwbHqbIPI",2022-06-11 09:48:02,2022-06-12 14:16:21,,354,314
150519516,rin_hatsuharu,"Berarti mereka juara seagames bukan sekadar ""keberuntungan"" aja ye, mereka memang punya modal sebagai WD baru yg menjanjikan",2022-06-11 09:33:49,2022-06-12 14:16:21,,124,290
939476287730491392,odreeeeeyyyy,PRIFAD EMG SUKA PRANK SET 1 YA 😭😭 KALIAN BENER BENER BENER KEREN!! BARU DEBUT DI SEAGAMES DAN SKRG BISA SAMPE FINAL… https://t.co/ArOsPEDhow,2022-06-11 09:30:13,2022-06-12 14:16:21,,26,131
144036844,Wulansepti_,Ya Allah aku terharu banget liat apri fadia yg baru dipasangin di seagames vietnam dan hari ini mereka lolos ke fin… https://t.co/rzLiH1zd0n,2022-06-11 09:29:54,2022-06-12 14:16:21,,505,248
