id_str,from_user,text,created_at,time,in_reply_to_user_id,user_followers_count,friends_count
1199737714523824128,DaniPrasetyo993,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 03:26:41,2022-06-12 12:03:06,,307,301
445611519,np_aditya,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 03:13:46,2022-06-12 12:03:06,,224,416
547436612,_tryagain__,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 03:01:57,2022-06-12 12:03:06,,386,196
447902445,harist_one,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 03:01:56,2022-06-12 12:03:06,,249,169
326798871,ClutchShooter15,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 03:01:21,2022-06-12 12:03:06,,60,39
3116749446,AbangIteung,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 03:00:55,2022-06-12 12:03:06,,613,564
345101149,dhy_ydh,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 02:53:46,2022-06-12 12:03:06,,27,156
1394057104705523712,amaro_sobri,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 02:35:22,2022-06-12 12:03:06,,21,69
1280511227777683457,rhngprt,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 02:23:48,2022-06-12 12:03:06,,81,155
1445168189810176006,JajameX5,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 02:17:30,2022-06-12 12:03:06,,2,251
